open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714521600000,2.5347000,2.5461000,2.4800000,2.5053000,9671296.3,1714525199999,24318079.38717000,87365,4726414.5,11887205.88835000,0
1714525200000,2.5053000,2.5194000,2.4714000,2.5046000,6010068.0,1714528799999,15019684.91488000,62055,3026528.6,7564603.07466000,0
1714528800000,2.5045000,2.5096000,2.4558000,2.4886000,5889463.1,1714532399999,14622268.60376000,58298,2963440.4,7358752.13266000,0
1714532400000,2.4887000,2.5375000,2.4795000,2.5272000,4411095.4,1714535999999,11062072.29826000,43217,2351253.2,5896513.87404000,0
1714536000000,2.5272000,2.5940000,2.5251000,2.5848000,7908982.2,1714539599999,20298198.57542000,70486,4058889.9,10413689.36135000,0
1714539600000,2.5847000,2.5994000,2.5310000,2.5493000,7885009.7,1714543199999,20182848.87047000,74740,3654999.0,9354114.81952000,0
1714543200000,2.5496000,2.5561000,2.4750000,2.4770000,7759716.0,1714546799999,19438398.10837000,70234,3743107.5,9376616.57156000,0
1714546800000,2.4770000,2.4869000,2.3909000,2.4388000,18719191.7,1714550399999,45795562.32117000,160414,9108900.7,22298844.04968000,0
1714550400000,2.4387000,2.4853000,2.3969000,2.4849000,12770785.5,1714553999999,31128707.17268000,120523,6716740.4,16383319.75911000,0
1714554000000,2.4849000,2.5476000,2.4745000,2.5186000,14257599.1,1714557599999,35960439.84803000,118202,7269681.6,18331643.53079000,0
1714557600000,2.5186000,2.5725000,2.5039000,2.5378000,13132121.2,1714561199999,33305722.50604000,106446,6186239.3,15698272.06643000,0
1714561200000,2.5377000,2.5694000,2.5095000,2.5654000,6646058.9,1714564799999,16824924.25971000,60716,3510621.8,8887015.24710000,0
1714564800000,2.5655000,2.6841000,2.5577000,2.6517000,24907243.1,1714568399999,65647194.06855000,191108,13163447.0,34695174.10480000,0
1714568400000,2.6518000,2.6716000,2.5646000,2.5746000,17916935.6,1714571999999,46735344.74650000,135674,8525215.2,22234158.72954000,0
1714572000000,2.5748000,2.5925000,2.4990000,2.5318000,15611421.7,1714575599999,39517240.85271000,124433,7783207.1,19703189.44121000,0
1714575600000,2.5320000,2.5761000,2.4888000,2.5427000,14911129.8,1714579199999,37788478.47846000,112237,7804023.7,19783477.63810000,0
1714579200000,2.5427000,2.5562000,2.4752000,2.5011000,13646043.9,1714582799999,34329139.04621000,104919,6703765.0,16871151.31844000,0
1714582800000,2.5012000,2.5549000,2.4632000,2.5344000,11704185.2,1714586399999,29290463.27603000,95613,6015218.9,15061124.48608000,0
1714586400000,2.5345000,2.6449000,2.5345000,2.6032000,20204688.7,1714589999999,52662881.39907000,158113,9772609.1,25471790.54104000,0
1714590000000,2.6035000,2.6193000,2.5353000,2.5777000,9793936.3,1714593599999,25204197.46009000,97488,4707759.6,12117059.20254000,0
1714593600000,2.5781000,2.6000000,2.5426000,2.5716000,4948428.0,1714597199999,12747330.04832000,52215,2404795.7,6195579.94828000,0
1714597200000,2.5715000,2.6643000,2.5637000,2.6452000,7935121.1,1714600799999,20879374.23189000,104960,4267184.9,11221978.24491000,0
1714600800000,2.6453000,2.7252000,2.6436000,2.6996000,9598065.9,1714604399999,25822509.60565000,92444,4911867.4,13214285.49467000,0
1714604400000,2.6996000,2.8396000,2.6910000,2.7960000,15244903.1,1714607999999,42336704.28903000,131730,8005651.6,22225138.29535000,0
1714608000000,2.7961000,2.7993000,2.7115000,2.7328000,10515867.0,1714611599999,28893776.02007000,97343,5289556.4,14530877.63504000,0
1714611600000,2.7333000,2.7464000,2.6763000,2.7062000,8380433.4,1714615199999,22694457.52829000,80890,3986902.7,10798461.83555000,0
1714615200000,2.7058000,2.7129000,2.6630000,2.6688000,6394470.1,1714618799999,17159837.51335000,64189,3164264.1,8493747.87240000,0
1714618800000,2.6688000,2.7135000,2.6622000,2.6791000,6223694.2,1714622399999,16693927.67600000,51542,3173232.7,8513666.00390000,0
1714622400000,2.6791000,2.6946000,2.6523000,2.6669000,4447850.4,1714625999999,11897121.53349000,40043,2091981.3,5596331.71424000,0
1714626000000,2.6668000,2.6987000,2.6442000,2.6906000,5717011.7,1714629599999,15287983.19608000,55505,2871867.1,7681795.55212000,0
1714629600000,2.6905000,2.7275000,2.6856000,2.7089000,6363188.7,1714633199999,17259595.68742000,53718,3254085.3,8827102.27372000,0
