open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704247200000,1.919900,1.950000,1.880000,1.898100,48196385.7,1704250799999,92321386.6504700,193369,22892110.1,43877762.5084100,0
1704250800000,1.897900,1.908200,1.876100,1.884800,20259811.0,1704254399999,38297663.2537400,84053,9387745.6,17754858.6868800,0
1704254400000,1.884700,1.903800,1.872600,1.892300,18937971.9,1704257999999,35727571.9055200,81548,9173275.1,17312777.1010500,0
1704258000000,1.892200,1.943500,1.873900,1.930700,28869093.0,1704261599999,55180487.0822800,110834,15062375.1,28799638.7731500,0
1704261600000,1.930600,1.983700,1.911400,1.927700,47448601.1,1704265199999,92542377.4594100,195709,24094054.4,47013424.9458800,0
1704265200000,1.927500,1.943900,1.895500,1.906800,34830697.2,1704268799999,66756875.7774700,140949,16670028.4,31966555.7944600,0
1704268800000,1.906900,1.933000,1.904500,1.928100,18318290.1,1704272399999,35184483.1442400,78378,9735318.2,18701382.1682300,0
1704272400000,1.928100,1.998500,1.915000,1.969400,56135461.2,1704275999999,110261722.4016400,212039,28600034.4,56192515.6998000,0
1704276000000,1.969400,2.016900,1.935900,1.940300,48535909.0,1704279599999,95651387.6260100,193852,23356413.1,46078064.7412100,0
1704279600000,1.940200,1.946000,1.830000,1.869600,78138557.0,1704283199999,147989134.2773600,262940,35835276.8,67880919.6257300,0
1704283200000,1.869700,1.947600,1.422000,1.923100,258459970.8,1704286799999,461948407.6496600,806070,123116429.6,220526266.2521800,0
1704286800000,1.922800,1.923700,1.762600,1.815300,95851640.7,1704290399999,176885225.8327000,332361,44234314.5,81664649.1809100,0
1704290400000,1.815300,1.834500,1.722000,1.799400,59744600.5,1704293999999,106912530.4200200,222565,29676519.8,53147714.9232500,0
1704294000000,1.799200,1.884000,1.797600,1.883200,65908005.4,1704297599999,121749818.6023800,232009,33008002.3,60991367.7933500,0
1704297600000,1.882400,2.091800,1.864100,2.049600,159177284.0,1704301199999,315097473.0575300,558982,80348626.0,159100586.3482300,0
1704301200000,2.049600,2.084800,1.979400,2.013200,71811327.5,1704304799999,145070958.4243700,310865,35330841.4,71406453.8562400,0
1704304800000,2.013500,2.083300,1.915200,1.943800,65164156.3,1704308399999,129864585.9301500,258693,30190929.0,60231478.4809100,0
1704308400000,1.943700,2.016000,1.941000,1.968900,42480430.4,1704311999999,84087190.6795700,165801,21890526.0,43330580.0145400,0
1704312000000,1.968900,1.982000,1.945500,1.962000,21458207.6,1704315599999,42152480.7203700,88684,10847260.0,21312217.9127200,0
1704315600000,1.962100,1.994900,1.934800,1.975400,26372368.1,1704319199999,51722897.6171400,108311,13087981.5,25682353.3717400,0
1704319200000,1.975400,1.978100,1.905200,1.912400,25021509.6,1704322799999,48391868.8632500,99048,11048818.4,21383965.8662900,0
1704322800000,1.912300,1.919100,1.880200,1.914200,21525156.5,1704326399999,40858806.1389500,82027,10206174.9,19383388.3915100,0
